name,type,chisq,rin,rout,rlaw,amin,amax,alaw,mass,oliv1,fcryst1,ffost1,like_down,like_up,rin_down,rin_up,rout_down,rout_up,rlaw_down,rlaw_up,amin_down,amin_up,amax_down,amax_up,alaw_down,alaw_up,mass_down,mass_up,oliv1_down,oliv1_up,fcryst1_down,fcryst1_up,ffost1_down,ffost1_up,chisq_down,chisq_up
NGC2422PMS112,disk,22.1639,16.29296,358.910081,2.607,1.9492,2.051188,4.9258,3.5034828830157e+16,0.9994,0.2413,0.7101,1.5e-05,1.5e-05,15.615023,16.827763,327.840793,367.871634,2.57495,2.631799,1.887466,1.992874,2.008543,2.123552,4.8973,5.096312,3.42817525798523e+16,3.61184813022204e+16,0.998204,0.999832,0.239446,0.252495,0.689443,0.704916,22.24179,22.96046
HD32297,disk,4.8787,55.74424,773.12597,-0.7615,2.8655,41.776871,2.532,8.74782325961286e+22,0.4815,0.351,0.1697,0.07369,0.084349,58.071622,63.530164,762.675678,808.591876,-0.749717,-0.71489,2.792773,2.923273,33.119833,36.399032,2.52112,2.590902,7.17600558201552e+22,8.97051951557242e+22,0.48222,0.504116,0.363137,0.373008,0.173196,0.197673,4.928496,5.471754
HD143675,disk,4.7114,108.893009,969.400789,0.0062,2.2549,906.966601,4.4068,3.28019755076989e+21,0.5095,0.176,0.4739,0.089699,0.094346,100.429289,111.978333,941.292913,1007.297979,-0.020542,0.01689,2.214339,2.327709,893.393164,970.269242,4.366236,4.425434,3.00631731658492e+21,3.77295616437432e+21,0.501439,0.512302,0.172762,0.198599,0.476993,0.486301,4.766552,5.228472
HD109573,disk,39.658,2780.993668,183.459082,1.4051,3.9101,30.400618,3.5807,1.21955109365969e+23,0.1965,0.1664,0.1972,0.0,0.0,2767.40202,2798.054864,180.718266,188.796303,1.381469,1.426783,3.86115,3.948133,29.908885,30.911867,3.570278,3.604364,1.17318101313994e+23,1.27953889517956e+23,0.171648,0.200621,0.161795,0.171199,0.195321,0.199275,39.712222,40.308068
HD110411,disk,6.8389,55.030062,4336.09686,-0.0566,5.4229,76.472464,5.272,3.67366880110304e+22,0.0108,0.4756,0.2455,0.030589,0.032564,53.99362,60.201862,3772.443219,4517.325725,-0.0735,-0.047189,5.483625,5.683097,75.166562,79.986115,5.263053,5.337284,3.22353344673695e+22,4.20684593949228e+22,0.008399,0.013115,0.487578,0.506006,0.245274,0.255262,6.898284,7.399176
1RXSJ051111.1+281353,disk,1.9296,10.139114,8994.621546,3.5522,0.8178,706.033389,4.1042,3.20922376804843e+16,0.7885,0.1189,0.6126,0.310857,0.379118,10.028258,10.673729,5971.375468,8828.544002,3.176412,3.436196,0.81899,0.967031,550.825219,913.174279,3.984277,4.117619,3.18037257652218e+16,3.99786170786572e+16,0.775213,0.813923,0.091681,0.131209,0.624406,0.662809,2.000125,2.766746
AlphaCrb,disk,50.6973,82.584777,92.880089,-1.5554,24.9082,287.37761,4.1355,3.66100228546544e+21,0.0646,0.0014,0.3165,0.0,0.0,71.622189,91.851768,84.767999,106.537916,-1.786284,-1.450129,23.518068,25.931342,216.591623,375.893888,4.012811,4.369424,2.94811119791414e+21,4.18251482057128e+21,0.032077,0.113013,0.000848,0.00959,0.265374,0.364854,50.760022,51.302726
BD+20307,disk,5.6183,99.792982,727.414946,3.6468,0.3466,21.57243,3.2296,8.31763771102674e+18,0.7918,0.0497,0.609,0.053583,0.059457,96.856499,102.832304,710.673668,764.815486,3.618816,3.689583,0.318965,0.361308,18.565304,22.723493,3.193844,3.25059,7.77626071230577e+18,8.77690356240843e+18,0.788305,0.796045,0.045973,0.053713,0.594912,0.611888,5.675249,6.205216
BetaPic,disk,26.2341,35.628702,1365.281,0.0038,5.6891,477.398735,5.3681,3.16009399044795e+23,0.6495,0.9994,0.0025,2.0e-06,2.0e-06,34.197856,36.536431,1333.780684,1409.477463,-0.004324,0.011631,5.611854,5.743592,468.598925,489.745543,5.35154,5.391245,3.05954898922579e+23,3.15141616704179e+23,0.645949,0.654604,0.997434,0.999849,0.00131,0.004675,26.297033,26.855274
EfCha,disk,57.1471,11.007787,7326.505883,2.2057,3.1193,3.3059,2.0694,1.26328110380736e+18,0.403,0.3166,0.9985,0.0,0.0,10.10704,12.343994,6930.46784,8413.956356,2.094856,2.294367,3.031982,3.23763,3.168458,3.436956,1.971705,2.136813,1.15197292183933e+18,1.47194524357912e+18,0.375824,0.439631,0.288064,0.338564,0.967065,0.997957,57.504438,60.58219
