catalog_name,c_teff,c_amin,c_dist_val
HD104600	10500   2.472   105.708
HD107947	9500    1.718   91.07
HD98363 	9000    1.207   123.6
HD106036        9000    1.207   100.705
HD106906	6440	1.400   92.08
HD113457	9500	1.718	91.0747
HD105613	9000	1.0768041099	104.167
HD105857	9000	1.2389431245	112.994
HD106797	9500	1.7628081714	95.9693
HD107301	10500	2.5367733549	93.8967
HD108857	6250	0.4916711503	96.9932
HD109832	7500	0.7791357357	111.857
HD111102	7250	0.6984179808	123.609
HD112383	9000	1.2389431245	110.742
HD113556	7000	0.5150645386	106.724
HD113902	11000	3.7146375	100.1
HD114082	6750	0.5033445391	85.4701
HD115361	6440	0.5761192617	125.1
HD115600	6750	0.5150645386	110.497
HD117214	6440	0.552424697	110.254
HD117484	10000	2.1211091921	147.275
HD117665	9000	1.3601944356	147.929
HD118379	8750	1.0768041099	121.654
HD118588	9250	1.4947999565	126.422
HD119718	6440	0.5761192617	131.752
HD121189	6750	0.5033445391	118.765
HD121336	9250	1.4947999565	139.86
HD122705	8500	1.0132702132	112.867
HD125541	7500	0.7791357357	113.25
HD126062	9250	1.4947999565	110.375
HD127750	9500	1.7628081714	175.747
HD129590	6000	0.3181413971	132.626
HD133803	7500	0.7791357357	124.844
HD135953	6440	0.5761192617	133.156
HD137057	6750	0.5033445391	168.634
HD137119	9000	1.2389431245	107.181
HD140817	9500	1.7628081714	147.275
HD141327	10500	2.5367733549	195.312
HD142446	6750	0.5033445391	144.30
HD143675	8250	0.9542492539	113.379
HD143939	10500	2.5367733549	144.718
HD145880	10000	2.1211091921	127.877
HD145972	7250	0.6984179808	127.389
HD148657	9500	1.7628081714	165.563
HD151109	12000	5.5400086785	222.717
HD147594	5860	0.3474676101	142.045
HD95086		7500	0.8127658228	90.4159
HD145357	8250	0.9542492539	140.647
HD140840	10000	2.1211091921	118.343
HD103703	6750	0.5033445391	105.042
HD106389	6360	0.552424697	118.906
HD104231	6440	0.5761192617	89.5255
HD102458	6115	0.3216627245	103.95
HD103234	6890	0.5150645386	104.712
HD107649	6440	0.5761192617	78.125
HD110058	9500	1.7628081714	99.9001
HD111103	6200	0.4916711503	128.041
HD112810	6500	0.5937779945	134.953
HD113524	6280	0.4916711503	106.045
HD120326	7200	0.6984179808	105.82
HD126135	12000	5.5400086785	155.521
HD131835	9000	1.2389431245	111.111
HD132238	12000	5.5400086785	191.939
HD133075	6750	0.5033445391	136.799
HD134888	6590	0.5937779945	113.507
HD136482	9250	1.4947999565	143.472
HD138923	12000	1.2389431245	112.486
HD140840	10000	2.1211091921	118.343
HD141011	6440	0.5761192617	99.108
HD143811	6440	0.5761192617	119.904
HD146897	6750	0.5033445391	131.752
HD145357	8250	2.5367733549	140.647
HD124619	7200	0.6984179808	139.86
