HD Name     HIP Name    Catalog Name  MIPS70      MIPS70 ER   FLAG      
----------  ----------  ------------  ----------  ----------  ----------
HD105613    HIP59282    HD105613      18.231       6.077       2.0       
HD105857    HIP59397    HD105857      15.23       5.108       2.0       
HD106797    HIP59898    HD106797      14.04       10.73       1.0       
HD107301    HIP60183    HD107301      57.87       10.8        2.0       
HD108857    HIP61049    HD108857      22.913       7.901       2.0       
HD109832    HIP61684    HD109832      69.02       5.018       2.0       
HD111102    HIP62428    HD111102      43.0        14.33       2.0       
HD112383    HIP63236    HD112383      7.874       5.46        1.0       
HD113556    HIP63886    HD113556      163.5       16.18       2.0       
HD113902    HIP64053    HD113902      17.02       6.549       2.0       
HD114082    HIP64184    HD114082      346.1       26.8        2.0       
HD115361    HIP64877    HD115361      50.14       42.13       2.0       
HD115600    HIP64995    HD115600      180.8       20.98       2.0       
HD117214    HIP65875    HD117214      332.5       20.03       2.0       
HD117484    HIP65965    HD117484      73.59       4.064       2.0       
HD117665    HIP66068    HD117665      16.05       4.199       2.0       
HD118379    HIP66447    HD118379      39.79       14.84       2.0       
HD118588    HIP66566    HD118588      17.92       6.454       2.0       
HD119718    HIP67230    HD119718      157.912      52.65       2.0       
HD121189    HIP67970    HD121189      8.706       5.513       2.0       
HD121336    HIP68080    HD121336      20.43       5.78        2.0       
HD122705    HIP68781    HD122705      10.248      5.328       1.0       
HD125541    HIP70149    HD125541      12.378       4.126       2.0       
HD126062    HIP70441    HD126062      158.3       4.653       2.0       
HD127750    HIP71271    HD127750      70.08       4.933       2.0       
HD129590    HIP72070    HD129590      394.3       4.897       2.0       
HD133803    HIP73990    HD133803      7.39        6.143       2.0       
HD135953    HIP74959    HD135953      67.71       4.588       2.0       
HD137057    HIP75491    HD137057      9.101       6.289       2.0       
HD137119    HIP75509    HD137119      12.098      5.76        1.0       
HD140817    HIP77315    HD140817      22.92       7.127       2.0       
HD141327    HIP77523    HD141327      13.79       4.6         2.0       
HD142446    HIP78043    HD142446      75.36       5.075       2.0       
HD143675    HIP78641    HD143675      37.65       5.43        2.0       
HD143939    HIP78756    HD143939      11.86       7.068       1.0       
HD145880    HIP79631    HD145880      338.3       9.351       2.0       
HD145972    HIP79710    HD145972      173.13       57.67       2.0       
HD148657    HIP80897    HD148657      179.4       138.96      2.0       
HD151109    HIP82154    HD151109      68.04       33.88       1.0       
HD147594    HIP80320    HD147594      31.558       10.55       2.0       
            HIP77157    HIP77157      3051.0      33.72       2.0       
