name,type,chisq,temp1,amin1,mass1,oliv1,fcryst1,ffost1,temp2,amin2,mass2,oliv2,fcryst2,ffost2
HD104600,multi,7.3083,117.7866,7.3491,1.90E+19,0.3001,0.0068,0.7247,300.4917,20.746,1.71E+18,0.2779,0.2442,0.2183
HD106036,multi,4.5501,163.2875,8.8424,6.65E+18,0.1969,0.2276,0.0049,503.9979,5.0563,6.18E+16,0.2588,0.4475,0.4572
HD106797,multi,7.9474,148.2473,7.3107,1.26E+19,0.7585,0.0077,0.1147,473.6335,6.9749,1.32E+17,0.4228,0.4051,0.2709
HD109573,multi,34.5766,102.3168,7.8025,2.37E+21,0.0356,0.0301,0.2841,294.9503,3.6715,2.17E+17,0.3255,0.4762,0.5298
HD140840,multi,1.9172,98.5415,18.0315,6.29E+19,0.427,0.1193,0.184,417.0804,7.0471,3.25E+16,0.2009,0.5574,0.6716
EfCha,multi,37.2243,178.2758,11.3291,2.91E+18,0.035,0.2047,0.217,999.6296,2.9722,3.80E+16,0.4946,0.2672,0.9993
EtaTel,multi,8.4353,120.4862,20.5692,2.29E+20,0.2317,0.094,0.2065,303.3103,5.0029,1.06E+18,0.393,0.0921,0.3167
1RXSJ051111.1+281353,multi,3.835,73.9635,17.4304,5.41E+16,0.3631,0.0172,0.794,613.567,29.9989,3.16E+16,0.1221,0.0044,0.0198
AlphaCrb,multi,36.1396,127.3464,14.1544,1.73E+20,0.7374,0.0079,0.4274,999.9738,21.6934,2.12E+17,0.2075,0.9998,0.0014
BD+20307,multi,11.0132,257.1589,0.3478,2.12E+18,0.9898,0.016,0.3212,870.7958,4.6854,2.22E+17,0.9629,0.2383,0.4847
BetaPic,multi,4.2068,118.2489,14.6938,5.36E+21,0.7561,0.0363,0.5816,953.3359,8.2872,1.94E+18,0.8277,0.6402,0.3365
EtaCrv,multi,6.8747,150.6244,3.4226,1.43E+19,0.9224,0.0809,0.1128,524.4953,6.5895,1.34E+18,0.7634,0.0236,0.478
GamOph,multi,15.1403,96.8024,10.2254,2.61E+20,0.5865,0.0816,0.2817,520.903,10.8825,1.56E+17,0.3366,0.9296,0.4817
HD104231,multi,2.4673,159.9308,3.9462,3.23E+17,0.893,0.0037,0.8781,624.9198,22.1545,4.08E+16,0.875,0.0091,0.9924
HD10472,multi,2.9198,93.4332,6.5427,1.31E+19,0.4627,0.1144,0.4122,612.7082,22.4905,3.50E+16,0.1236,0.5292,0.2824
HD105613,multi,1.9978,138.8436,4.3229,5.35E+17,0.7132,0.0333,0.0701,451.728,6.9979,4.17E+16,0.0646,0.0154,0.4751
HD105850,multi,4.4165,97.6789,6.3723,1.46E+19,0.607,0.0744,0.6402,562.5203,21.7086,1.51E+17,0.9916,0.0135,0.0256
HD105857,multi,1.9471,188.9572,5.2238,7.74E+17,0.4129,0.0437,0.3039,496.8935,28.4434,6.06E+16,0.5863,0.0042,0.6584
HD10638,multi,2.4747,74.9254,6.7593,1.01E+20,0.713,0.0418,0.3423,433.0776,6.8011,3.23E+16,0.5789,0.9678,0.6157
HD106906,multi,2.4185,103.0965,6.9501,6.68E+19,0.8245,0.0342,0.2771,275.7889,3.8618,5.07E+16,0.6156,0.0106,0.4343
HD107301,multi,2.8778,165.5761,9.1284,7.82E+18,0.1429,0.0003,0.1932,604.6872,28.7696,4.62E+16,0.6387,0.0012,0.4713
HD107947,multi,2.4453,135.809,24.4517,1.62E+19,0.3693,0,0.1832,432.8027,11.1686,1.00E+17,0.8858,0.0695,0.0047
HD108857,multi,5.392,105.8783,22.2954,6.66E+18,0.8464,0.2204,0.2391,316.9729,26.2093,1.22E+18,0.2964,0.0025,0.6614
HD108904,multi,0.1817,272.6794,1.5391,6.09E+16,0.1764,0.0936,0.6761,154.4869,3.5865,1.45E+18,0.4462,0.0835,0.7277
HD109704,multi,2.4922,108.1162,6.5947,1.03E+19,0.3526,0.6999,0.0106,616.724,11.1505,5.02E+16,0.8774,0.2363,0.9371
HD109832,multi,2.2678,111.0798,6.0969,1.12E+19,0.934,0.0086,0.0544,344.7923,10.5109,6.47E+16,0.0561,0.0251,0.2615
HD110058,multi,3.9849,113.5994,6.8102,8.41E+19,0.1784,0.036,0.0464,594.6333,13.7553,4.36E+16,0.2357,0.0091,0.6868
HD110411,multi,3.5498,82.639,7.2531,1.07E+20,0.2281,0.012,0.0823,489.1997,18.7875,2.14E+17,0.0887,0.045,0.3142
HD111520,multi,1.4721,101.9937,6.6319,2.43E+19,0.9905,0.1532,0.2994,488.8672,23.4933,3.45E+16,0.3567,0.9873,0.8105
HD112383,multi,3.0875,97.7258,2.8012,6.66E+18,0.4583,0.0236,0.2637,300.3343,18.1239,8.63E+17,0.0417,0.0074,0.4162
HD113457,multi,1.2612,155.5838,17.9834,1.56E+19,0.9895,0.0113,0.2787,387.8916,5.1324,1.53E+17,0.0916,0.1114,0.2938
HD113556,multi,2.4866,83.7298,14.3484,6.42E+19,0.3023,0.3419,0.1589,456.1379,15.1672,4.02E+16,0.0004,0.1493,0.9877
HD113766,multi,33.9488,196.1514,15.8854,7.96E+19,0.5007,0.767,0.0089,724.8448,3.2742,1.03E+18,0.5531,0.4976,0.4748
HD114082,multi,2.393,113.3271,4.4805,5.60E+19,0.4386,0.1024,0.9177,535.0046,21.7832,3.62E+16,0.4525,0.0595,0.7674
HD115361,multi,1.4456,96.0512,17.6857,2.92E+19,0.3519,0.0008,0.3593,250.3764,29.1514,6.31E+17,0.7236,0.0057,0.9975
HD117214,multi,3.1607,113.9728,4.6421,4.33E+19,0.8986,0.0249,0.8462,629.464,28.8358,3.84E+16,0.8408,0.0084,0.6009
HD117484,multi,1.9954,97.457,8.0329,2.46E+19,0.359,0.0078,0.3506,280.7409,5.565,1.45E+17,0.3366,0.0123,0.7722
HD117524,multi,2.2062,36.3159,15.9411,7.37E+17,0.0864,0.7847,0.7123,539.9944,29.9926,3.16E+16,0.9998,0.5659,0.6827
HD117665,multi,2.8242,108.3671,3.7801,4.56E+18,0.3887,0.0012,0.996,306.4762,6.9438,2.33E+17,0.1659,0.186,0.6381
HD118379,multi,2.0639,100.1093,13.9354,2.47E+19,0.433,0.0004,0.3879,264.1397,10.4225,5.38E+16,0.7049,0.1512,0.1072
HD118588,multi,2.1782,134.3168,7.4073,4.23E+18,0.4322,0.0403,0.0983,317.7566,7.341,1.33E+17,0.5439,0.0027,0.5498
HD120326,multi,2.0705,121.5966,6.7578,2.28E+19,0.7764,0.0226,0.0699,247.9322,6.7628,6.53E+16,0.8297,0.4109,0.1659
HD122705,multi,4.0389,89.5353,3.3274,2.18E+18,0.3249,0.0844,0.0951,395.2302,7.0393,3.17E+16,0.7445,0.0373,0.303
HD124619,multi,1.8519,104.4302,14.026,1.62E+18,0.338,0.1349,0.1658,484.9079,29.1489,5.46E+16,0.342,0.004,0.2414
HD125541,multi,2.0361,121.8294,4.7525,1.63E+18,0.7513,0.1126,0.5741,393.0424,12.0292,3.24E+16,0.4818,0.0492,0.0686
HD126062,multi,2.167,101.1937,6.7139,9.21E+18,0.5189,0.0127,0.03,416.2939,14.0071,5.29E+16,0.2916,0.0175,0.8823
HD126135,multi,1.3672,91.4506,4.4268,3.26E+18,0.713,0.4061,0.0588,333.9714,8.8271,1.12E+17,0.557,0.001,0.3641
HD127750,multi,5.5925,56.316,3.0409,2.79E+20,0.7192,0.0123,0.9777,292.776,3.6506,4.11E+16,0.7347,0.1635,0.7282
HD129590,multi,3.3296,87.3724,7.3176,1.66E+20,0.5438,0.0496,0.2063,431.6817,21.9138,3.63E+16,0.9944,0.0012,0.1393
HD132238,multi,0.7509,142.6992,23.7659,5.85E+18,0.7325,0.2564,0.8022,352.0021,23.0643,4.27E+17,0.8565,0.1417,0.0074
HD133803,multi,6.6375,71.3421,25.5906,8.06E+19,0.7274,0.3321,0.0656,250.0297,6.218,3.93E+17,0.851,0.0328,0.0896
HD134888,multi,1.7705,94.9524,14.0757,4.30E+19,0.444,0.0395,0.7731,603.6612,27.0467,3.20E+16,0.0701,0.0896,0.8217
HD135379,multi,7.605,155.5333,5.9544,8.62E+18,0.573,0.0044,0.5389,420.3608,5.1974,1.41E+17,0.2613,0.0237,0.7631
HD136347,multi,4.0253,43.8027,24.2937,1.57E+17,0.8164,0.8541,0.7421,501.2727,29.9816,3.17E+16,0.3638,0.9974,0.9976
HD136482,multi,1.4666,160.294,15.3835,5.57E+18,0.0793,0.1082,0.118,526.7652,10.5522,5.71E+16,0.5307,0.3827,0.527
HD137057,multi,2.3724,100.3798,4.6716,8.34E+18,0.1612,0.1006,0.1843,353.1838,28.2899,9.26E+16,0.2638,0.0002,0.8283
HD137119,multi,2.8515,163.5998,5.339,5.80E+17,0.1516,0.0632,0.1819,346.0071,8.719,9.73E+16,0.2097,0.0287,0.2639
HD138813,multi,2.0329,122.4366,14.5308,1.12E+20,0.3566,0.0757,0.8051,501.0663,12.3185,8.85E+16,0.2325,0.324,0.9494
HD141254,multi,2.7406,79.3361,22.8703,1.32E+19,0.2274,0.1612,0.0437,462.9468,22.0853,3.17E+16,0.358,0.8067,0.3452
HD141327,multi,1.7874,78.7987,20.9906,3.03E+19,0.4756,0.0015,0.7872,357.4159,12.0625,9.56E+16,0.1628,0.0066,0.2534
HD142139,multi,1.2624,120.4113,17.841,1.41E+19,0.4086,0.0879,0.0517,492.1569,6.8019,3.29E+16,0.5676,0.388,0.2978
HD143675,multi,4.1555,129.9924,10.3576,1.28E+19,0.1371,0.3579,0.0008,375.883,3.4337,3.96E+16,0.1069,0.5223,0.3022
HD144587,multi,1.5623,164.5014,6.3722,1.34E+18,0.3566,0.0027,0.8765,574.3287,6.3469,3.20E+16,0.3086,0.5715,0.3969
HD144981,multi,1.1437,193.3332,5.3164,3.02E+17,0.4405,0.0999,0.8594,581.3569,19.8099,7.23E+16,0.3228,0.3222,0.7639
