Name,Temp,Dist,Loc,Diff
HD3003,      163.033,       20.230736,      8.43141,       11.799324
HD5267,      79.7739,       171.98912,      76.9728,       95.016348
HD6798,      89.2417,       121.26317,      51.8080,       69.455180
HD10472,      93.4332,       26.520295,      7.22050,       19.299795
HD10638,      74.9254,       77.717646,      46.3874,       31.330233
BD+20307,      257.159,       6.7509147,      1.95794,       4.7929792
HD15407,      146.302,       24.603102,      7.26836,       17.334745
HD15745,      86.6821,       28.607785,      8.72879,       19.878992
HD17848,      78.2868,       97.446979,      36.3435,       61.103446
HD23267,      115.066,       56.803274,      27.1815,       29.621757
HD24141,      99.8580,       40.440412,      14.8186,       25.621829
HD24966,      92.6841,       72.467074,      33.9764,       38.490649
HD32297,      91.6679,       33.749263,      12.0428,       21.706495
1RXSJ051111.1+281353,      73.9635,       37.621640,      5.68738,       31.934265
HD34324,      39.3347,       622.46269,      351.093,       271.36995
HD35150,      137.330,       23.768655,      9.12274,       14.645915
HD37286,      143.232,       16.440594,      7.00278,       9.4378177
HD37306,      107.357,       43.683459,      20.7287,       22.954715
HD37564,      156.588,       35.799602,      12.1194,       23.680171
HD38206,      85.0740,       103.94813,      52.0512,       51.896918
ZetaLep,      141.019,       25.741405,      13.7952,       11.946223
BetaPic,      118.249,       24.857255,      9.72795,       15.129302
HD40540,      87.4646,       39.305048,      16.5254,       22.779644
HD53842,      131.252,       11.263799,      2.15453,       9.1092658
ID8,      76.6092,       28.218334,      4.92887,       23.289468
HD68420,      98.7716,       48.502648,      21.1810,       27.321652
HD69830,      211.429,       2.0371273,     0.318612,       1.7185153
HD71043,      131.723,       35.655068,      16.6100,       19.045052
HD71155,      76.1535,       252.37641,      113.708,       138.66840
HD75416,      196.791,       40.081235,      29.8088,       10.272388
HD74873,      128.449,       29.693358,      14.7191,       14.974245
HD84870,      67.1183,       98.656132,      29.8920,       68.764090
HD86087,      94.7174,       121.27295,      65.1034,       56.169577
HD98363,      109.321,       42.026309,      20.2315,       21.794807
HD104231,      159.931,       7.5384597,      2.02186,       5.5165989
HD104600,      117.787,       77.849489,      51.5194,       26.330118
EfCha,      178.276,       11.338056,      5.16363,       6.1744232
HD105613,      138.844,       22.603351,      11.0504,       11.552945
HD105850,      97.6789,       60.750374,      27.5990,       33.151396
HD105857,      188.957,       11.019716,      5.15907,       5.8606481
HD106036,      163.288,       16.526831,      6.73403,       9.7928053
HD106797,      148.247,       36.840918,      19.0740,       17.766941
HD106906,      103.096,       25.955241,      6.58837,       19.366875
HD107301,      165.576,       31.531556,      20.4086,       11.122943
HD107947,      135.809,       33.791191,      15.9455,       17.845695
HD108857,      105.878,       19.129873,      5.36881,       13.761060
HD108904,      154.487,       11.301344,      3.14343,       8.1579139
