Name,Temp1,Tushar_Dist1,Oliv_Dist1,Pyro_Dist1,Fors_Dist1,Enst_Dist1,Temp2,Tushar_Dist2,Oliv_Dist2,Pyro_Dist2,Fors_Dist2,Enst_Dist2
HD104600,      117.787,location1,       77.849489,       78.472061,       20.051553,       72.329531,      300.492,location2,       13.659440,       13.629131,       4.1561338,       11.079849
HD106036,      163.288,location1,       16.526831,       16.560937,       2.6648775,       8.9594083,      503.998,location2,       2.3437067,       2.3268379,      0.40297437,      0.94523451
HD106797,      148.247,location1,       36.840918,       36.546714,       8.1386814,       27.032470,      473.634,location2,       4.6288919,       4.6553792,       1.0358653,       2.6851295
HD109573,      102.317,location1,       62.670358,       64.072552,       12.760100,       46.789855,      294.950,location2,       7.9143308,       7.6965366,       1.0061330,       5.2841899
HD140840,      98.5415,location1,       59.771511,       58.870576,       19.249984,       42.469616,      417.080,location2,       3.9014343,       3.8825739,      0.75709478,       2.5846977
EfCha,      178.276,location1,       11.338056,       10.988342,       2.8662451,       5.2217724,      999.630,location2,      0.62406118,      0.74490739,      0.10589836,      0.17976692
EtaTel,      120.486,location1,       41.555012,       40.517716,       12.249489,       25.979306,      303.310,location2,       6.8561929,       6.7165234,       1.0332291,       4.1042680
1RXSJ051111.1+281353,      73.9635,location1,       37.621640,       35.084540,       14.336632,       22.077777,      613.567,location2,      0.67296918,      0.72321905,      0.30370032,      0.37426870
AlphaCrb,      127.346,location1,       65.698413,       64.995294,       16.086601,       45.129018,      999.974,location2,       1.3955181,       1.7594113,      0.79276044,      0.79738137
BD+20307,      257.159,location1,       6.7509147,       5.0826441,      0.15536488,       1.9454848,      870.796,location2,      0.32391436,      0.36048120,     0.073443064,      0.10469091
BetaPic,      118.249,location1,       24.857255,       24.396957,       6.1268296,       11.782019,      953.336,location2,      0.55572618,      0.70863299,      0.29800645,      0.18446852
EtaCrv,      150.624,location1,       12.742170,       11.903756,       1.3151089,       4.6726285,      524.495,location2,       1.2347824,       1.2149095,      0.24069279,      0.43112892
GamOph,      96.8024,location1,       66.284298,       66.394318,       15.122840,       40.854819,      520.903,location2,       2.9052042,       3.0339805,      0.74216412,       1.3769721
HD104231,      159.931,location1,       7.5384597,       6.9612203,      0.89426495,       3.0305332,      624.920,location2,      0.58724251,      0.64736747,      0.23759913,      0.25049550
HD10472,      93.4332,location1,       26.520295,       26.369531,       5.5013587,       13.590310,      612.708,location2,      0.71632539,      0.78752861,      0.27954578,      0.30510560
HD105613,      138.844,location1,       22.603351,       22.256006,       2.9482798,       10.938791,      451.728,location2,       2.3676662,       2.3372356,      0.50484295,      0.96554031
HD105850,      97.6789,location1,       60.750374,       63.020318,       11.709039,       41.195645,      562.520,location2,       2.1468894,       2.3426559,      0.85267117,       1.0924120
HD105857,      188.957,location1,       11.019716,       10.937640,       1.6168736,       5.5694150,      496.893,location2,       1.9736516,       2.0999791,      0.75837194,      0.99129845
HD10638,      74.9254,location1,       77.717646,       79.253391,       19.356484,       45.466840,      433.078,location2,       2.3182319,       2.2690736,      0.48663785,      0.98437623
HD106906,      103.096,location1,       25.955241,       25.099191,       6.2283008,       12.758041,      275.789,location2,       3.7188573,       3.3755092,      0.44212157,       1.3759259
HD107301,      165.576,location1,       31.531556,       31.842273,       5.9043287,       27.758043,      604.687,location2,       3.0743061,       3.4193543,       1.3265206,       2.1560450
HD107947,      135.809,location1,       33.791191,       33.025111,            -NaN,            -NaN,      432.803,location2,       3.8132597,       3.8780248,      0.88188182,       2.3317545
HD108857,      105.878,location1,       19.129873,       18.526909,       5.8061753,       9.7257160,      316.973,location2,       2.4133540,       2.3791807,      0.78405292,       1.2419523
HD108904,      272.679,location1,       4.7287863,       3.8471764,      0.27446407,       1.3294235,      154.487,location2,       11.301344,       10.328951,       1.3670061,       4.2780193
HD109704,      108.116,location1,       46.192735,       46.842812,       8.3481136,       27.164976,      616.724,location2,       1.8270271,       1.9879253,      0.49662910,      0.75368896
HD109832,      111.080,location1,       22.382441,       22.530994,       3.7340044,       11.240121,      344.792,location2,       2.5346582,       2.4605850,      0.55371917,       1.0736487
HD110058,      113.599,location1,       22.315749,       22.215429,       4.7720652,       11.987580,      594.633,location2,       1.0427520,       1.1320096,      0.36284945,      0.42590681
HD110411,      82.6390,location1,       79.939005,       81.413988,       20.779527,       52.990094,      489.200,location2,       2.4888413,       2.6245879,      0.78110108,       1.3310077
HD111520,      101.994,location1,       19.182170,       18.710531,       3.5867563,       9.7227289,      488.867,location2,      0.97818065,       1.0221555,      0.34046834,      0.43866540
HD112383,      97.7258,location1,       99.968067,       98.857132,       9.1292973,       52.085472,      300.334,location2,       7.2994668,       7.2552962,       2.0429772,       4.1520510
HD113457,      155.584,location1,       25.435193,       24.978712,       7.6982023,       18.000532,      387.892,location2,       4.6754041,       4.6047937,      0.75642177,       2.9807978
HD113556,      83.7298,location1,       35.983188,       35.519314,       10.654973,       17.084152,      456.138,location2,       1.4823511,       1.5082988,      0.40719116,      0.61132838
HD113766,      196.151,location1,       11.479381,       11.066591,       2.6439639,       5.5743500,      724.845,location2,       1.2812351,       1.2842196,      0.18787383,      0.35586851
HD114082,      113.327,location1,       18.618613,       18.001451,       2.6892643,       8.4982099,      535.005,location2,      0.86186522,      0.91726390,      0.33295159,      0.37157642
HD115361,      96.0512,location1,       26.531825,       25.708011,       10.245915,       12.402161,      250.376,location2,       4.4071976,       4.3325759,       1.4180970,       2.3394096
HD117214,      113.973,location1,       22.397049,       21.641591,       3.5886054,       10.515799,      629.464,location2,      0.77380479,      0.85862220,      0.34303711,      0.35329060
HD117484,      97.4570,location1,       66.253390,       68.672636,       17.181569,       51.739405,      280.741,location2,       7.9928400,       7.9306961,       1.2657571,       5.8927762
