# micron,En90
126.47271,14.62576
123.46147,31.75221
120.59027,38.25312
117.84958,42.9333
115.23071,34.43975
112.72569,29.92915
110.32727,36.85313
108.02879,52.61288
105.82413,69.25111
103.70764,76.28838
101.67416,78.35803
99.71889,75.00533
97.8374,70.01729
96.0256,67.93828
94.27967,84.40202
92.59611,88.76446
90.97161,82.61188
89.40314,93.82986
87.88783,104.2421
86.42303,105.28677
85.00626,103.57317
83.63519,108.00385
82.30764,106.19911
81.02158,108.16426
79.7751,112.38644
78.56638,127.91846
77.39375,136.1217
76.25561,133.86546
75.15045,136.14178
74.07687,145.28685
73.03354,150.87206
72.01918,155.15711
71.03262,162.0826
70.07271,167.71591
69.13841,168.87861
68.22869,173.37118
67.34261,178.3025
66.47924,178.82045
65.63773,176.62686
64.81726,174.84795
64.01704,178.30908
63.23635,179.6975
62.47446,180.42862
61.73072,182.98276
61.00451,184.77024
60.29516,186.47781
59.60211,189.91837
58.92481,191.91365
58.26273,191.16841
57.61537,190.57058
56.98223,192.02909
56.36286,194.78482
55.75681,197.06509
55.16365,200.24452
54.58298,204.76205
54.0144,209.55761
53.45755,215.29933
52.91207,220.0913
52.3776,222.94014
51.85383,226.42521
51.34042,230.51925
50.83708,238.65061
50.34352,247.39985
49.85945,254.10327
49.38459,267.73701
48.9187,285.18997
48.46152,295.25905
48.0128,313.01766
47.57231,330.18388
47.13984,346.84026
46.71515,375.02609
46.29805,408.81983
45.88834,446.73026
45.48581,487.82684
45.48579,458.16668
45.38626,471.91464
45.28717,485.11279
45.18849,498.85239
45.09026,514.47623
44.99245,530.37261
44.89507,544.25933
44.79809,556.6477
44.70155,569.06948
44.60542,581.05931
44.50971,590.9038
44.41438,598.47384
44.31948,604.6694
44.22499,609.651
44.1309,612.37184
44.03721,611.43148
43.94389,605.61877
43.85099,595.63146
43.75849,584.43879
43.66637,571.63907
43.57462,556.14962
43.48327,537.72626
43.39231,515.6868
43.3017,491.81076
43.2115,469.71705
43.12166,449.55058
43.0322,429.60694
42.9431,411.18318
42.85438,396.32928
42.76602,384.03915
42.67803,372.41582
42.59038,362.05503
42.50311,354.69516
42.4162,350.08155
42.32964,346.69642
42.24341,344.56503
42.15756,344.81514
42.07205,347.06359
41.98689,349.80851
41.90207,352.94229
41.81758,357.7227
41.73344,364.34858
41.64964,371.69545
41.56618,378.72312
41.48304,385.15855
41.40024,390.80996
41.31777,394.73905
41.23563,396.04772
41.1538,394.86505
41.07232,391.3113
40.99115,384.83077
40.9103,375.55189
40.82976,364.5137
40.74955,352.4986
40.66965,340.3185
40.59007,328.8099
40.51078,318.14852
40.43181,307.07193
40.35315,294.79778
40.27479,284.53145
40.19674,277.98919
40.11899,272.96
40.04155,267.90826
39.9644,262.89952
39.88753,258.6896
39.81098,255.22016
39.73472,251.97396
39.65874,249.02257
39.58305,246.68008
39.50766,244.082
39.43255,240.19026
39.35773,238.37642
39.28318,240.69689
39.20892,243.13955
39.13495,244.6934
39.06125,245.96286
38.98781,247.15426
38.91467,248.75552
38.8418,251.12372
38.7692,253.79664
38.69686,256.42714
38.6248,259.4082
38.55301,263.15259
38.48149,267.65542
38.41022,272.80922
38.33922,278.74099
38.26849,285.42774
38.19802,292.57051
38.1278,300.32545
38.05783,309.20523
37.98813,318.94257
37.91869,328.17098
37.84948,335.6225
37.78054,341.02012
37.71186,344.67287
37.64342,347.60593
37.57521,351.34764
37.50727,356.5387
37.43957,362.77059
37.37211,369.50379
37.30489,376.5022
37.23791,383.79036
37.17118,391.71623
37.10469,400.8089
37.03842,410.85381
36.9724,421.34925
36.90662,432.26884
36.84107,443.54644
36.77574,455.32483
36.71065,467.95966
36.6458,481.30737
36.58117,495.06756
36.51675,509.29571
36.45258,523.79649
36.38863,538.11995
36.32491,552.34906
36.26139,566.90056
36.19811,581.67999
36.13505,595.51713
36.07221,607.08041
36.00958,616.91247
35.94717,628.26563
35.88498,641.26027
35.82301,650.75657
35.76124,655.87794
35.69969,658.27867
35.63835,658.61284
35.57722,657.07516
35.5163,653.78624
35.45559,648.56419
35.39509,642.15551
35.33479,636.05405
35.2747,629.98669
35.2148,622.8774
35.15512,615.32604
35.09564,609.38122
35.03636,605.65246
34.97726,603.171
34.91838,601.58031
34.8597,601.10107
34.80121,601.7154
34.74291,603.53141
34.68482,606.77925
34.62691,611.62328
34.56921,618.49196
34.51168,627.24831
34.45435,636.81422
34.39722,646.87485
34.34027,657.50879
34.2835,668.6354
34.22693,680.15685
34.17055,691.39149
34.11435,701.60842
34.05832,710.5801
34.00249,718.02769
33.94684,723.184
33.89138,725.82135
33.83608,726.11873
33.78098,723.86548
33.72605,719.77203
33.67129,715.30644
33.61672,711.26296
33.56233,707.44383
33.50811,703.23945
33.45406,698.54032
33.40019,693.08258
33.34649,686.20715
33.29297,678.14466
33.23961,669.55443
33.18643,659.93865
33.13342,648.30877
33.08058,633.30337
33.02789,613.08584
32.97539,592.69948
32.92305,578.26222
32.87087,565.47391
32.81885,551.4396
32.76701,537.27701
32.71533,523.53472
32.66381,510.28636
32.61246,498.37216
32.56125,488.89521
32.51022,481.59178
32.45934,475.05093
32.40863,468.7895
32.35806,463.57576
32.30766,459.85609
32.25742,457.47915
32.20733,456.42189
32.15739,456.57899
32.10761,457.44212
32.05799,458.63592
32.00852,460.64449
31.95919,464.46799
31.91003,470.18629
31.86101,477.09037
31.81215,484.97537
31.76343,494.06812
31.71486,504.4722
31.66644,516.0914
31.61817,529.14849
31.57004,543.95319
31.52206,559.44324
31.47423,573.81571
31.42655,586.39548
31.37901,597.44634
31.3316,606.93395
31.28434,614.88238
31.23723,622.00772
31.19026,628.6324
31.14342,633.98259
31.09673,637.42549
31.05018,639.50473
31.00376,640.96096
30.95749,641.63472
30.91136,640.74715
30.86536,637.83158
30.81949,633.63109
30.77377,629.24551
30.72818,625.18706
30.68272,621.89462
30.6374,619.93989
30.59221,619.02453
30.54716,618.68027
30.50224,620.21236
30.45744,624.54323
30.41278,630.70537
30.36826,638.19732
30.32386,647.50155
30.27959,658.82144
30.23545,671.21273
30.19144,684.25696
30.14756,699.29705
30.1038,717.3916
30.06017,737.26028
30.01667,758.47033
29.9733,778.51089
29.93004,800.33766
29.88691,820.32841
29.84391,838.87323
29.80104,859.08539
29.75827,881.91937
29.71564,905.85236
29.67313,930.483
29.63074,958.1615
29.58847,984.71438
29.54632,1008.32233
29.5043,1032.55177
29.46239,1058.37803
29.4206,1084.53584
29.37892,1110.27272
29.33737,1134.01326
29.29593,1156.64643
29.25462,1179.46939
29.21341,1199.51714
29.17232,1215.77717
29.13135,1232.04731
29.09049,1249.32852
29.04975,1266.60577
29.00912,1278.10947
28.9686,1287.88201
28.9282,1299.37578
28.88791,1310.88916
28.84773,1321.54894
28.80767,1334.53192
28.76771,1350.23077
28.72786,1363.77026
28.68813,1373.17378
28.64851,1382.66395
28.609,1395.12508
28.56958,1406.85672
28.53029,1415.84282
28.4911,1424.28135
28.45202,1433.62705
28.41304,1440.19772
28.37417,1443.08274
