# L um,San 8K ,L um,San 20K ,L um,san carlos 50K,L um,san carlos 100K,L um,san carlos 200K mir&fir,L um,san 292K
1.03968E+02,1.95420E+00,,2.00401E+02,1.03968E+02,1.33070E+00,1.03968E+02,3.59980E+00,1.03968E+02,7.29240E+00,1.03968E+02,9.40920E+00
1.03708E+02,2.46958E+01,1.99438E+02,1.10000E+01,1.03708E+02,2.32903E+01,1.03708E+02,2.47296E+01,1.03708E+02,2.88815E+01,1.03708E+02,3.00492E+01
1.03449E+02,3.40238E+01,1.98484E+02,3.55470E+00,1.03449E+02,3.31013E+01,1.03449E+02,3.44682E+01,1.03449E+02,3.83267E+01,1.03449E+02,3.89772E+01
1.03192E+02,2.58204E+01,1.97538E+02,,1.03192E+02,2.61106E+01,1.03192E+02,2.69278E+01,1.03192E+02,3.06311E+01,1.03192E+02,3.16895E+01
1.02936E+02,3.47060E+00,1.96602E+02,,1.02936E+02,4.85830E+00,1.02936E+02,6.23290E+00,1.02936E+02,9.18330E+00,1.02936E+02,1.07525E+01
1.02681E+02,,1.95675E+02,,1.02681E+02,,1.02681E+02,,1.02681E+02,,1.02681E+02,
1.02427E+02,,1.94756E+02,,1.02427E+02,,1.02427E+02,,1.02427E+02,,1.02427E+02,
1.02175E+02,,1.93846E+02,6.26448E+00,1.02175E+02,,1.02175E+02,,1.02175E+02,1.04460E+00,1.02175E+02,4.68200E+00
1.01924E+02,1.00162E+01,1.92944E+02,,1.01924E+02,1.02695E+01,1.01924E+02,1.27177E+01,1.01924E+02,1.34639E+01,1.01924E+02,1.77559E+01
1.01674E+02,1.13513E+01,1.92051E+02,,1.01674E+02,1.25617E+01,1.01674E+02,1.44959E+01,1.01674E+02,1.46124E+01,1.01674E+02,2.06516E+01
1.01426E+02,4.37400E-01,1.91166E+02,,1.01426E+02,2.92510E+00,1.01426E+02,3.43290E+00,1.01426E+02,9.76720E+00,1.01426E+02,8.26000E+00
1.01178E+02,,1.90289E+02,,1.01178E+02,,1.01178E+02,,1.01178E+02,,1.01178E+02,
1.00932E+02,,1.89420E+02,,1.00932E+02,,1.00932E+02,,1.00932E+02,,1.00932E+02,
1.00687E+02,,1.88559E+02,,1.00687E+02,,1.00687E+02,,1.00687E+02,,1.00687E+02,6.72700E-01
1.00443E+02,1.01373E+01,1.87706E+02,,1.00443E+02,1.10008E+01,1.00443E+02,1.38934E+01,1.00443E+02,1.93393E+01,1.00443E+02,2.50939E+01
1.00201E+02,2.50741E+01,1.86861E+02,5.90466E-01,1.00201E+02,2.63989E+01,1.00201E+02,2.79103E+01,1.00201E+02,3.40931E+01,1.00201E+02,3.62251E+01
9.99592E+01,2.69533E+01,1.86023E+02,,9.99592E+01,2.73600E+01,9.99592E+01,2.88874E+01,9.99592E+01,3.52666E+01,9.99592E+01,3.33587E+01
9.97189E+01,1.78376E+01,1.85192E+02,,9.97189E+01,1.73648E+01,9.97189E+01,1.97214E+01,9.97189E+01,2.56256E+01,9.97189E+01,2.45466E+01
9.94797E+01,,1.84369E+02,,9.94797E+01,,9.94797E+01,,9.94797E+01,1.12540E+00,9.94797E+01,3.45840E+00
9.92418E+01,,1.83553E+02,,9.92418E+01,,9.92418E+01,,9.92418E+01,,9.92418E+01,
9.90049E+01,3.88210E+00,1.82745E+02,8.45599E+00,9.90049E+01,1.26800E+00,9.90049E+01,6.41070E+00,9.90049E+01,9.11880E+00,9.90049E+01,6.35080E+00
9.87691E+01,1.83574E+01,1.81943E+02,1.32505E+01,9.87691E+01,1.72335E+01,9.87691E+01,2.07116E+01,9.87691E+01,2.60523E+01,9.87691E+01,2.22844E+01
9.85346E+01,1.92990E+01,1.81149E+02,6.43803E+00,9.85346E+01,2.00655E+01,9.85346E+01,2.30408E+01,9.85346E+01,2.74622E+01,9.85346E+01,2.71624E+01
9.83011E+01,6.17940E+00,1.80361E+02,,9.83011E+01,6.39210E+00,9.83011E+01,1.05543E+01,9.83011E+01,1.36379E+01,9.83011E+01,1.43188E+01
9.80687E+01,,1.79580E+02,,9.80687E+01,,9.80687E+01,,9.80687E+01,,9.80687E+01,
9.78374E+01,,1.78806E+02,,9.78374E+01,,9.78374E+01,,9.78374E+01,,9.78374E+01,
9.76072E+01,,1.78039E+02,,9.76072E+01,,9.76072E+01,,9.76072E+01,,9.76072E+01,
9.73781E+01,,1.77278E+02,,9.73781E+01,,9.73781E+01,,9.73781E+01,8.57300E-01,9.73781E+01,1.09430E+00
9.71500E+01,1.45237E+01,1.76524E+02,,9.71500E+01,1.29249E+01,9.71500E+01,1.49441E+01,9.71500E+01,2.13108E+01,9.71500E+01,2.27608E+01
9.69230E+01,1.88184E+01,1.75776E+02,,9.69230E+01,1.82852E+01,9.69230E+01,2.09010E+01,9.69230E+01,2.59093E+01,9.69230E+01,2.74201E+01
9.66971E+01,8.95350E+00,1.75034E+02,,9.66971E+01,8.74420E+00,9.66971E+01,1.24865E+01,9.66971E+01,1.68076E+01,9.66971E+01,1.57083E+01
9.64722E+01,,1.74299E+02,,9.64722E+01,,9.64722E+01,,9.64722E+01,2.29810E+00,9.64722E+01,3.70830E+00
9.62483E+01,,1.73569E+02,,9.62483E+01,,9.62483E+01,,9.62483E+01,,9.62483E+01,
9.60256E+01,,1.72846E+02,2.04702E+00,9.60256E+01,,9.60256E+01,,9.60256E+01,1.56710E+00,9.60256E+01,4.11130E+00
9.58038E+01,1.46262E+01,1.72129E+02,1.49593E+01,9.58038E+01,1.42819E+01,9.58038E+01,1.71193E+01,9.58038E+01,2.12115E+01,9.58038E+01,2.23647E+01
9.55831E+01,2.99041E+01,1.71418E+02,1.16806E+01,9.55831E+01,2.92364E+01,9.55831E+01,3.30371E+01,9.55831E+01,3.54477E+01,9.55831E+01,3.48378E+01
9.53633E+01,2.25592E+01,1.70712E+02,,9.53633E+01,2.28745E+01,9.53633E+01,2.62459E+01,9.53633E+01,2.89786E+01,9.53633E+01,2.59286E+01
9.51446E+01,2.09460E+00,1.70013E+02,,9.51446E+01,3.32950E+00,9.51446E+01,6.45860E+00,9.51446E+01,9.73760E+00,9.51446E+01,8.19040E+00
9.49269E+01,,1.69319E+02,,9.49269E+01,,9.49269E+01,,9.49269E+01,,9.49269E+01,
9.47102E+01,,1.68630E+02,,9.47102E+01,,9.47102E+01,,9.47102E+01,,9.47102E+01,
9.44945E+01,,1.67948E+02,,9.44945E+01,,9.44945E+01,,9.44945E+01,,9.44945E+01,
9.42797E+01,7.15890E+00,1.67270E+02,,9.42797E+01,3.92480E+00,9.42797E+01,1.03587E+01,9.42797E+01,1.44354E+01,9.42797E+01,1.68656E+01
9.40659E+01,1.16975E+01,1.66599E+02,,9.40659E+01,1.20752E+01,9.40659E+01,1.68049E+01,9.40659E+01,2.12439E+01,9.40659E+01,2.29482E+01
9.38531E+01,2.41300E+00,1.65932E+02,,9.38531E+01,4.30400E+00,9.38531E+01,7.10870E+00,9.38531E+01,1.29573E+01,9.38531E+01,1.40112E+01
9.36412E+01,,1.65271E+02,,9.36412E+01,,9.36412E+01,,9.36412E+01,,9.36412E+01,
9.34303E+01,,1.64615E+02,,9.34303E+01,,9.34303E+01,,9.34303E+01,,9.34303E+01,
9.32204E+01,,1.63965E+02,,9.32204E+01,,9.32204E+01,,9.32204E+01,,9.32204E+01,1.44690E+00
9.30113E+01,8.38700E+00,1.63319E+02,5.39119E+00,9.30113E+01,9.07950E+00,9.30113E+01,1.05512E+01,9.30113E+01,1.66352E+01,9.30113E+01,2.12305E+01
9.28033E+01,2.81818E+01,1.62679E+02,8.73564E+00,9.28033E+01,2.93561E+01,9.28033E+01,3.13304E+01,9.28033E+01,3.62461E+01,9.28033E+01,3.85525E+01
9.25961E+01,3.29181E+01,1.62043E+02,,9.25961E+01,3.27249E+01,9.25961E+01,3.47229E+01,9.25961E+01,3.90780E+01,9.25961E+01,4.16399E+01
9.23898E+01,2.00911E+01,1.61413E+02,,9.23898E+01,1.95482E+01,9.23898E+01,2.19470E+01,9.23898E+01,2.61663E+01,9.23898E+01,2.75834E+01
9.21846E+01,,1.60787E+02,,9.21846E+01,,9.21846E+01,8.37400E-01,9.21846E+01,5.95290E+00,9.21846E+01,5.85990E+00
