Name, Chisq, Observed MIPS70, Observed MIPS70 Error, Modeled MIPS70, Interpolated MIPS70
HD3003, 3.744200, 0.054406, 0.005100, 0.055281, 0.056889
HD5267, 2.743800, 0.034181, 0.005349, 0.001922, 0.001867
HD6798, 3.195900, 0.004761, 0.003302, 0.025007, 0.023555
HD10472, 5.034500, 0.125154, 0.012700, 0.097210, 0.109799
HD10638, 3.371300, 0.251175, 0.084700, 0.126607, 0.141873
BD+20307, 5.618300, 0.027822, 0.002370, 0.020061, 0.019503
HD15745, 2.697200, 0.739010, 0.052600, 0.071889, 0.064728
HD17848, 10.839700, 0.219866, 0.015960, 0.052014, 0.063042
HD23267, 1.308400, 0.054373, 0.018570, 0.021694, 0.022008
HD24141, 2.769200, 0.035074, 0.013618, 0.004640, 0.004531
HD24966, 8.615700, 0.149869, 0.007941, 0.164394, 0.172592
HD32297, 4.878700, 0.999749, -0.999000, 1.432554, 1.514791
1RXSJ051111.1+281353, 1.929600, 0.032309, 0.011000, 0.000056, 0.000054
HD34324, 4.173000, 0.032783, 0.002658, 0.042198, 0.043486
HD35150, 2.268800, 0.012996, 0.004375, 0.000652, 0.000667
HD37286, 2.508200, 0.017573, 0.007078, 0.009052, 0.008941
HD37306, 8.565900, 0.078769, 0.005740, 0.027371, 0.028740
HD37564, 4.154100, 0.999607, -0.999000, 0.744997, 0.753694
HD38206, 5.564300, 0.338467, 0.036567, 0.041072, 0.042884
ZetaLep, 11.870400, 0.238196, 0.003780, 0.109948, 0.097110
BetaPic, 26.234100, 12.959313, 2.240444, 7.595530, 9.521264
HD40540, 6.393100, 0.094521, 0.003860, 0.230135, 0.238284
HD53842, 1.184800, 0.155434, 0.008290, 0.013639, 0.014037
ID8, 10.153100, 0.999024, -0.999000, 0.000121, 0.000118
HD68420, 0.902200, 0.999126, -0.999000, 0.001981, 0.001998
HD69830, 101.188202, 0.002469, 0.002120, 0.000802, 0.000905
HD71043, 0.748600, 0.093662, 0.030700, 0.021264, 0.022047
HD71155, 17.235701, 0.190304, 0.004130, 0.034310, 0.044355
HD75416, 1.684600, 0.030721, 0.003573, 0.023709, 0.023826
HD74873, 1.774900, 0.016490, 0.007091, 0.004340, 0.004626
HD84870, 4.650900, 0.032544, 0.003700, 0.035040, 0.043095
HD86087, 8.669100, 0.100747, 0.008211, 0.034333, 0.036343
HD98363, 3.935700, 0.096978, 0.031778, 0.053884, 0.055208
HD104231, 2.557700, 0.038928, 0.013267, 0.005548, 0.005585
HD104600, 7.172300, 0.095766, 0.006345, 0.045085, 0.045891
EfCha, 57.147099, 0.020316, 0.007300, 0.000479, 0.000433
HD105613, 2.039500, 0.019424, 0.006900, 0.003758, 0.003719
HD105850, 7.555500, 0.022205, 0.001967, 0.018767, 0.020794
HD105857, 2.081700, 0.013237, 0.004833, 0.009086, 0.009278
HD106036, 4.113300, 0.252529, 0.084700, 0.029448, 0.030697
