Name, Chisq, Observed MIPS70, Observed MIPS70 Error, Modeled MIPS70, Interpolated MIPS70
HD3003,3.7442,0.054406,0.0051,0.055281,0.056889
HD5267,2.7438,0.034181,0.005349,0.001922,0.001867
HD6798,3.1959,0.004761,0.003302,0.025007,0.023555
HD10472,5.0345,0.125154,0.0127,0.09721,0.109799
HD10638,3.3713,0.251175,0.0847,0.126607,0.141873
BD+20307,5.6183,0.027822,0.00237,0.020061,0.019503
HD15745,2.6972,0.73901,0.0526,0.071889,0.064728
HD23267,1.3084,0.054373,0.01857,0.021694,0.022008
HD24141,2.7692,0.035074,0.013618,0.00464,0.004531
HD32297,4.8787,0.999749,-0.999,1.432554,1.514791
1RXSJ051111.1+281353,1.9296,0.032309,0.011,0.000056,0.000054
HD34324,4.173,0.032783,0.002658,0.042198,0.043486
HD35150,2.2688,0.012996,0.004375,0.000652,0.000667
HD37286,2.5082,0.017573,0.007078,0.009052,0.008941
HD37564,4.1541,0.999607,-0.999,0.744997,0.753694
HD38206,5.5643,0.338467,0.036567,0.041072,0.042884
HD53842,1.1848,0.155434,0.00829,0.013639,0.014037
HD68420,0.9022,0.999126,-0.999,0.001981,0.001998
HD71043,0.7486,0.093662,0.0307,0.021264,0.022047
HD75416,1.6846,0.030721,0.003573,0.023709,0.023826
HD74873,1.7749,0.01649,0.007091,0.00434,0.004626
HD84870,4.6509,0.032544,0.0037,0.03504,0.043095
HD98363,3.9357,0.096978,0.031778,0.053884,0.055208
HD104231,2.5577,0.038928,0.013267,0.005548,0.005585
HD105613,2.0395,0.019424,0.0069,0.003758,0.003719
HD105857,2.0817,0.013237,0.004833,0.009086,0.009278
HD106036,4.1133,0.252529,0.0847,0.029448,0.030697
HD106389,2.1118,0.022892,0.007767,0.000211,0.000209
HD106906,3.3959,0.279318,0.016685,0.327295,0.336682
HD107301,4.7803,0.055605,0.011181,0.121652,0.122524
HD107947,2.7033,0.030755,0.00441,0.023451,0.023955
HD108857,4.2882,0.029572,0.010267,0.027344,0.027752
HD108904,0.2351,0.111325,0.037667,0.006689,0.006722
HD109704,3.6732,0.017208,0.007097,0.017099,0.019213
HD109832,2.2941,0.067918,0.006075,0.010066,0.009209
HD111520,1.8184,0.213314,0.01336,0.043671,0.044529
HD112383,5.8419,0.006153,0.002633,0.020154,0.020326
HD113457,1.075,0.03674,0.012833,0.018809,0.018768
HD113556,2.7531,0.158951,0.021541,0.026819,0.027984
HD114082,3.1646,0.348901,0.034731,0.360143,0.365913
HD115361,1.8594,0.175588,0.058833,0.038484,0.039076
HD117214,5.036,0.32858,0.025928,0.082885,0.079149
HD117484,1.8987,0.07284,0.005509,0.047556,0.049093
HD117524,1.5524,0.029084,0.0099,0.000148,0.000146
HD117665,3.4046,0.014909,0.004276,0.003929,0.003568
HD118379,2.829,0.038716,0.014933,0.022822,0.023741
HD118588,2.2089,0.036351,0.012433,0.012605,0.011939
HD120326,2.146,0.161183,0.011385,0.018101,0.016585
HD122705,4.1142,0.009265,0.0034,0.000273,0.000259
HD124619,2.1468,0.038806,0.013133,0.004359,0.004444
HD125541,1.9234,0.013846,0.004767,0.011582,0.011705
HD126062,3.395,0.157355,0.009205,0.024059,0.024944
HD126135,1.512,0.033401,0.01151,0.016515,0.016673
HD132238,0.6876,0.011237,0.00427,0.012105,0.012243
HD133803,3.6124,0.024859,0.0086,0.005932,0.005101
HD134888,3.2731,0.119282,0.011662,0.128232,0.13409
HD136347,3.2297,0.006598,0.00278,0.000039,0.000053
HD136482,1.6892,0.019448,0.00697,0.034624,0.035552
HD137057,2.8605,0.027111,0.009333,0.005927,0.006097
HD137119,2.8729,0.011184,0.004033,0.002474,0.00256
HD138813,4.4096,0.37571,0.019678,0.3311,0.33687
HD140840,2.1614,0.078124,0.007351,0.02344,0.023997
HD141254,2.3971,0.029091,0.009867,0.000404,0.000488
HD141327,2.0175,0.013845,0.0049,0.004419,0.004326
HD142139,1.3482,0.025298,0.009964,0.019435,0.020552
HD143675,4.7114,0.03697,0.005814,0.03772,0.038988
HD144587,1.4479,0.013355,0.004823,0.01315,0.01334
HD144981,1.0104,0.01365,0.004845,0.004658,0.004711
HD145554,2.3046,0.017386,0.006206,0.017803,0.018182
HD145631,0.886,0.017729,0.006379,0.007279,0.007285
HD145972,1.5812,0.175134,0.058633,0.005449,0.005476
HD145689,4.5816,0.034954,0.002751,0.011388,0.011562
HD146606,1.8828,0.019979,0.007063,0.013233,0.012516
HD147010,0.9089,0.299138,0.1003,0.118419,0.122657
HD147137,1.9734,0.022735,0.007809,0.003887,0.003658
HD147594,2.2652,0.033278,0.011333,0.001829,0.001837
HD151109,2.8126,0.066857,0.022667,0.044082,0.046434
HD164029,3.9742,0.165786,0.01059,0.006505,0.006918
HD169666,3.0339,0.01725,0.004,0.013113,0.012925
HD182919,3.0407,0.059044,0.021171,0.021495,0.022836
HD184930,3.294,0.006396,0.004,0.000922,0.000935
HD191174,0.4078,0.031226,0.01132,0.003576,0.00355
HD191089,3.5015,0.541331,0.0125,0.071608,0.067156
HD221853,3.954,0.33422,0.0247,0.213085,0.218173
