Name, Chisq, Observed MIPS70, Observed MIPS70 Error, Modeled MIPS70, Interpolated MIPS70
HD3003,3.7442,0.054406,0.0051,0.017913,0.016863
HD5267,2.7438,0.034181,0.005349,0.009683,0.010667
HD6798,3.1959,0.004761,0.003302,0.013633,0.016924
HD10472,5.0345,0.125154,0.0127,0.004663,0.004821
HD10638,3.3713,0.251175,0.0847,0.015951,0.018614
BD+20307,5.6183,0.027822,0.00237,0.002905,0.003807
HD15407,2.6972,0.165109,0.00906,0.032677,0.033131
HD17848,1.3084,0.219866,0.01596,0.011767,0.013733
HD23267,2.7692,0.054373,0.01857,0.009416,0.008868
HD24966,4.8787,0.149869,0.007941,0.014716,0.017978
HD32297,1.9296,0.999749,-0.999,0.274578,0.263412
1RXSJ051111.1+281353,4.173,0.032309,0.011,0.000344,0.000349
HD34324,2.2688,0.032783,0.002658,0.035677,0.038353
HD35150,2.5082,0.012996,0.004375,0.00048,0.000483
HD37306,4.1541,0.078769,0.00574,0.009703,0.009282
HD37564,5.5643,0.999607,-0.999,0.002107,0.002086
HD40540,1.1848,0.094521,0.00386,0.06343,0.070598
ID8,0.9022,0.999024,-0.999,0.000203,0.000203
HD69830,0.7486,0.002469,0.00212,0.011421,0.012536
HD71155,1.6846,0.190304,0.00413,0.0278,0.0302
HD75416,1.7749,0.030721,0.003573,0.027862,0.027371
HD74873,4.6509,0.01649,0.007091,0.024944,0.025
HD86087,3.9357,0.100747,0.008211,0.028621,0.033148
HD98363,2.5577,0.096978,0.031778,0.013,0.013808
EfCha,2.0395,0.020316,0.0073,0.013746,0.0144
HD105850,2.0817,0.022205,0.001967,0.00583,0.006174
HD105857,4.1133,0.013237,0.004833,0.001237,0.001289
HD106036,2.1118,0.252529,0.0847,0.016512,0.014708
HD106906,3.3959,0.279318,0.016685,0.024976,0.029887
HD107301,4.7803,0.055605,0.011181,0.018988,0.016506
HD107947,2.7033,0.030755,0.00441,0.024492,0.025328
HD108857,4.2882,0.029572,0.010267,0.011081,0.011417
HD108904,0.2351,0.111325,0.037667,0.000839,0.000833
HD109573,3.6732,5.156208,1.1,1.567768,1.406784
HD109704,2.2941,0.017208,0.007097,0.006752,0.006686
HD110411,1.8184,0.229207,0.00496,0.036803,0.03677
HD111520,5.8419,0.213314,0.01336,0.007575,0.009825
HD112383,1.075,0.006153,0.002633,0.00802,0.00848
HD113457,2.7531,0.03674,0.012833,0.030388,0.034325
HD113556,3.1646,0.158951,0.021541,0.050838,0.053625
HD113766,1.8594,0.387901,0.022389,0.339392,0.354901
HD114082,5.036,0.348901,0.034731,0.016087,0.015436
HD115361,1.8987,0.175588,0.058833,0.026687,0.028663
HD117214,1.5524,0.32858,0.025928,0.005534,0.006212
HD117484,3.4046,0.07284,0.005509,0.013014,0.012618
HD117524,2.829,0.029084,0.0099,0.00016,0.000146
HD117665,2.2089,0.014909,0.004276,0.001936,0.001769
HD118379,2.146,0.038716,0.014933,0.027496,0.029945
HD118588,4.1142,0.036351,0.012433,0.004485,0.004532
HD120326,2.1468,0.161183,0.011385,0.014428,0.017223
HD122705,1.9234,0.009265,0.0034,0.000583,0.000634
HD124619,3.395,0.038806,0.013133,0.002597,0.002786
HD125541,1.512,0.013846,0.004767,0.000922,0.001038
HD127750,0.6876,0.069325,0.006025,0.004807,0.004912
HD129590,3.6124,0.393347,0.020325,0.054129,0.058641
HD132238,3.2731,0.011237,0.00427,0.008444,0.009647
HD134888,3.2297,0.119282,0.011662,0.034889,0.035978
HD135379,1.6892,0.217717,0.080144,0.006629,0.006809
HD136347,2.8605,0.006598,0.00278,0.00018,0.000167
HD136482,2.8729,0.019448,0.00697,0.017954,0.017245
HD137119,4.4096,0.011184,0.004033,0.001222,0.001103
AlphaCrb,2.1614,0.403352,0.00982,0.265814,0.292281
HD138813,2.3971,0.37571,0.019678,0.166304,0.16304
HD140840,2.0175,0.078124,0.007351,0.060546,0.065586
HD141254,1.3482,0.029091,0.009867,0.006467,0.006813
HD141327,4.7114,0.013845,0.0049,0.01224,0.012402
HD142139,1.4479,0.025298,0.009964,0.022456,0.023791
HD143675,1.0104,0.03697,0.005814,0.030892,0.031335
HD144587,2.3046,0.013355,0.004823,0.001441,0.001309
HD144981,0.886,0.01365,0.004845,0.001226,0.001207
HD145263,1.5812,0.149413,0.0125,0.115211,0.128257
HD145554,4.5816,0.017386,0.006206,0.014549,0.014373
HD145631,1.8828,0.017729,0.006379,0.004621,0.004758
HD145689,0.9089,0.034954,0.002751,0.007038,0.00697
HD146606,1.9734,0.019979,0.007063,0.004317,0.004346
HD146897,2.2652,0.529372,0.028324,0.04978,0.047595
HD147010,2.8126,0.299138,0.1003,0.049125,0.052547
HD157728,3.9742,0.734022,0.0526,0.202171,0.202411
HD159492,3.0339,0.161273,0.01059,0.014512,0.014681
HD172555,3.0407,0.210863,0.00595,0.265354,0.285253
EtaTel,3.294,0.400391,0.058142,0.327464,0.340873
HD181327,0.4078,1.464593,0.1468,0.085392,0.102076
HD182919,3.5015,0.059044,0.021171,0.017731,0.019205
HD184930,3.954,0.006396,0.004,0.00129,0.001413
